platform,vflows,variant,resource,value,source
vivado,32,static,logic_luts,3309.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,lutram_luts,532.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,registers,2036.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,64,dynamic,bram36_tiles,240.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,bram_uram_allocated_bits,8847360.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,logic_luts,5991.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,lutram_luts,732.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,registers,4216.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,static,bram36_tiles,120.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,bram_uram_allocated_bits,4423680.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,logic_luts,3684.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,lutram_luts,612.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,registers,2886.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
