platform,vflows,variant,baseline,resource,baseline_value,value,absolute_change,percent_change
vivado,1024,replay,dynamic,bram36_tiles,81937.5,51230.5,-30707.0,-37.476125095347065
vivado,1024,replay,static,bram_uram_allocated_bits,1321574400.0,1888561152.0,566986752.0,42.9023709902371
vivado,1024,replay,dynamic,bram_uram_allocated_bits,3020544000.0,1888561152.0,-1131982848.0,-37.476125095347065
vivado,1024,replay,static,dsp_blocks,0.0,0.0,0.0,
vivado,1024,replay,dynamic,dsp_blocks,0.0,0.0,0.0,
vivado,1024,replay,static,logic_luts,219107.0,308796.0,89689.0,40.93388161948272
vivado,1024,replay,dynamic,logic_luts,345710.0,308796.0,-36914.0,-10.677735674409186
vivado,1024,replay,static,lutram_luts,824.0,824.0,0.0,0.0
vivado,1024,replay,dynamic,lutram_luts,824.0,824.0,0.0,0.0
vivado,1024,replay,static,registers,84909.0,73815.0,-11094.0,-13.065752747058616
vivado,1024,replay,dynamic,registers,76037.0,73815.0,-2222.0,-2.922261530570643
vivado,1024,replay,static,uram288_blocks,0.0,0.0,0.0,
vivado,1024,replay,dynamic,uram288_blocks,0.0,0.0,0.0,
