cycle,request_id,global_flow_id,size_bytes
3492,1282,4,48
3495,1283,5,48
3498,1284,6,48
3500,1285,7,48
3503,1286,8,48
3505,1287,1,48
3508,1288,2,48
3510,1289,3,48
3513,1290,4,48
3516,1291,5,48
3519,1292,6,48
3521,1293,7,48
3524,1294,8,48
3527,1295,1,48
3530,1296,2,48
3532,1297,3,48
3535,1298,4,48
3538,1299,5,48
3541,1300,6,48
3543,1301,7,48
3546,1302,8,48
3549,1303,1,48
3552,1304,2,48
3554,1305,3,48
3557,1306,4,48
3560,1307,5,48
3563,1308,6,48
3565,1309,7,48
3568,1310,8,48
3571,1311,1,48
3574,1312,2,48
3576,1313,3,48
3579,1314,4,48
3582,1315,5,48
3585,1316,6,48
3587,1317,7,48
3590,1318,8,48
3593,1319,1,48
3596,1320,2,48
3598,1321,3,48
3601,1322,4,48
3604,1323,5,48
3607,1324,6,48
3609,1325,7,48
3612,1326,8,48
3615,1327,1,48
3618,1328,2,48
3620,1329,3,48
3623,1330,4,48
3626,1331,5,48
3629,1332,6,48
3631,1333,7,48
3634,1334,8,48
3636,1335,1,48
3639,1336,2,48
3641,1337,3,48
3644,1338,4,48
3647,1339,5,48
3650,1340,6,48
3652,1341,7,48
3655,1342,8,48
3658,1343,1,48
3661,1344,2,48
3663,1345,3,48
3666,1346,4,48
3669,1347,5,48
3672,1348,6,48
3674,1349,7,48
3677,1350,8,48
3680,1351,1,48
3683,1352,2,48
3685,1353,3,48
3688,1354,4,48
3691,1355,5,48
3694,1356,6,48
3696,1357,7,48
3699,1358,8,48
3702,1359,1,48
3705,1360,2,48
3707,1361,3,48
3710,1362,4,48
3713,1363,5,48
3716,1364,6,48
3718,1365,7,48
3721,1366,8,48
3724,1367,1,48
3727,1368,2,48
3729,1369,3,48
3732,1370,4,48
3735,1371,5,48
3738,1372,6,48
3740,1373,7,48
3743,1374,8,48
3745,1375,1,48
3748,1376,2,48
3750,1377,3,48
3753,1378,4,48
3756,1379,5,48
3759,1380,6,48
3761,1381,7,48
3764,1382,8,48
3767,1383,1,48
3770,1384,2,48
3772,1385,3,48
3775,1386,4,48
3778,1387,5,48
3781,1388,6,48
3783,1389,7,48
3786,1390,8,48
3789,1391,1,48
3792,1392,2,48
3794,1393,3,48
3797,1394,4,48
3800,1395,5,48
3803,1396,6,48
3805,1397,7,48
3808,1398,8,48
3811,1399,1,48
3814,1400,2,48
3816,1401,3,48
3819,1402,4,48
3822,1403,5,48
3825,1404,6,48
3827,1405,7,48
3830,1406,8,48
3833,1407,1,48
3836,1408,2,48
3838,1409,3,48
3841,1410,4,48
3844,1411,5,48
3847,1412,6,48
3849,1413,7,48
3852,1414,8,48
3855,1415,1,48
3858,1416,2,48
3860,1417,3,48
3863,1418,4,48
3866,1419,5,48
3869,1420,6,48
3871,1421,7,48
3874,1422,8,48
3876,1423,1,48
3879,1424,2,48
3881,1425,3,48
3884,1426,4,48
3887,1427,5,48
3890,1428,6,48
3892,1429,7,48
3895,1430,8,48
3898,1431,1,48
3901,1432,2,48
3903,1433,3,48
3906,1434,4,48
3909,1435,5,48
3912,1436,6,48
3914,1437,7,48
3917,1438,8,48
3920,1439,1,48
3923,1440,2,48
3925,1441,3,48
3928,1442,4,48
3931,1443,5,48
3934,1444,6,48
3936,1445,7,48
3939,1446,8,48
3942,1447,1,48
3945,1448,2,48
3947,1449,3,48
3950,1450,4,48
3953,1451,5,48
3956,1452,6,48
3958,1453,7,48
3961,1454,8,48
3964,1455,1,48
3967,1456,2,48
3969,1457,3,48
3972,1458,4,48
3975,1459,5,48
3978,1460,6,48
3980,1461,7,48
3983,1462,8,48
3985,1463,1,48
3988,1464,2,48
3990,1465,3,48
3993,1466,4,48
3996,1467,5,48
3999,1468,6,48
4001,1469,7,48
4004,1470,8,48
4007,1471,1,48
4010,1472,2,48
4012,1473,3,48
4015,1474,4,48
4018,1475,5,48
4021,1476,6,48
4023,1477,7,48
4026,1478,8,48
4029,1479,1,48
4032,1480,2,48
4034,1481,3,48
4037,1482,4,48
4040,1483,5,48
4043,1484,6,48
4045,1485,7,48
4048,1486,8,48
4051,1487,1,48
4054,1488,2,48
4056,1489,3,48
4059,1490,4,48
4062,1491,5,48
4065,1492,6,48
4067,1493,7,48
4070,1494,8,48
4073,1495,1,48
4076,1496,2,48
4078,1497,3,48
4081,1498,4,48
4084,1499,5,48
4087,1500,6,48
4089,1501,7,48
4092,1502,8,48
4095,1503,1,48
4098,1504,2,48
4100,1505,3,48
4103,1506,4,48
4106,1507,5,48
4109,1508,6,48
4111,1509,7,48
4114,1510,8,48
4116,1511,1,48
4119,1512,2,48
4121,1513,3,48
4124,1514,4,48
4127,1515,5,48
4130,1516,6,48
4132,1517,7,48
4135,1518,8,48
4138,1519,1,48
4141,1520,2,48
4143,1521,3,48
