platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
quartus,512,replay,block_memory_bits,bits,335544896,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,335544896,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,mlab_memory_bits,bits,0,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,mlab_memory_bits,bits,0,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,512,static,logic_luts,LUTs,675435,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,74870,120113,5,600565,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,logic_luts,LUTs,685429,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,84864,120113,5,600565,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,registers,bits,188271,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,39206,29813,5,149065,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,registers,bits,188446,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,39381,29813,5,149065,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,bram36_tiles,tiles,8648.5,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,8648.5,0.0,5,0.0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,bram36_tiles,tiles,12171.0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,12171.0,0.0,5,0.0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,bram_uram_allocated_bits,bits,318818304,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,318818304,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,bram_uram_allocated_bits,bits,448671744,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,448671744,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,lutram_luts,LUTs,628,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,628,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,lutram_luts,LUTs,628,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,628,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
