window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_3_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
4389,4629,2508,16.0000077128,1.00000048205,7.99996913296,5.33174313565,2.66829544416,0.49999807081,0.333233945978,0.16676846526
4401,4641,2520,16.0000077128,1.00000048205,7.99996913296,5.31977439087,2.68026418893,0.49999807081,0.33248589943,0.167516511808
4413,4653,2532,16.0000077128,1.00000048205,7.99996913296,5.29399652438,2.70604205542,0.49999807081,0.330874782774,0.169127628464
4425,4665,2544,16.0000077128,1.00000048205,7.99996913296,5.24953576618,2.75050281362,0.49999807081,0.328095985386,0.171906425851
4437,4677,2556,16.0000077128,1.00000048205,7.99996913296,5.18336236639,2.81667621341,0.49999807081,0.3239601479,0.176042263338
4449,4689,2568,16.0000077128,1.00000048205,7.99996913296,5.09702105313,2.90301752667,0.49999807081,0.318563815821,0.181438595417
4461,4701,2580,16.0000077128,1.00000048205,7.99996913296,4.99161572918,3.00842285062,0.49999807081,0.311975983074,0.188026428164
4473,4713,2592,16.0000077128,1.00000048205,7.99996913296,4.87013193422,3.12990664558,0.49999807081,0.304383245889,0.195619165349
4485,4725,2604,16.0000077128,1.00000048205,7.99996913296,4.73957358771,3.2604649921,0.49999807081,0.296223349232,0.203779062006
4497,4737,2616,16.0000077128,1.00000048205,7.99996913296,4.6054088578,3.394629722,0.49999807081,0.287838053612,0.212164357625
4509,4749,2628,16.0000077128,1.00000048205,7.99996913296,4.47346186633,3.52657671347,0.49999807081,0.279591366646,0.220411044592
4521,4761,2640,16.0000077128,1.00000048205,7.99996913296,4.35176926069,3.64826931911,0.49999807081,0.271985578793,0.228016832445
4533,4773,2652,16.0000077128,1.00000048205,7.99996913296,4.24492415156,3.75511442824,0.49999807081,0.265307759473,0.234694651765
4545,4785,2664,16.0000077128,1.00000048205,7.99996913296,4.15605418688,3.84398439292,0.49999807081,0.25975338668,0.240249024557
4557,4797,2676,16.0000077128,1.00000048205,7.99996913296,4.08894426842,3.91109431138,0.49999807081,0.255559016776,0.244443394461
4569,4809,2688,16.0000077128,1.00000048205,7.99996913296,4.04280014106,3.95723843874,0.49999807081,0.252675008816,0.247327402421
4581,4821,2700,16.0000077128,1.00000048205,7.99996913296,4.01475820513,3.98528037467,0.49999807081,0.250922387821,0.249080023417
4593,4833,2712,16.0000077128,1.00000048205,7.99996913296,4.00259957514,3.99743900467,0.49999807081,0.250162473446,0.249839937792
4605,4845,2724,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4617,4857,2736,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4629,4869,2748,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4641,4881,2760,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4653,4893,2772,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4665,4905,2784,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4677,4917,2796,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4689,4929,2808,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4701,4941,2820,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4713,4953,2832,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4725,4965,2844,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4737,4977,2856,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4749,4989,2868,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4761,5001,2880,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4773,5013,2892,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4785,5025,2904,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4797,5037,2916,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
4809,5049,2928,16.0000077128,1.00000048205,7.99996913296,4.00010624883,3.99993233097,0.49999807081,0.250006640552,0.249995770686
