cycle,request_id,global_flow_id,size_bytes
3492,1282,2,48
3494,1283,3,48
3497,1284,4,48
3500,1285,5,48
3503,1286,6,48
3505,1287,1,48
3508,1288,2,48
3510,1289,3,48
3513,1290,4,48
3516,1291,5,48
3519,1292,6,48
3522,1293,1,48
3525,1294,2,48
3527,1295,3,48
3530,1296,4,48
3533,1297,5,48
3536,1298,6,48
3538,1299,1,48
3541,1300,2,48
3543,1301,3,48
3546,1302,4,48
3549,1303,5,48
3552,1304,6,48
3555,1305,1,48
3558,1306,2,48
3560,1307,3,48
3563,1308,4,48
3566,1309,5,48
3569,1310,6,48
3571,1311,1,48
3574,1312,2,48
3576,1313,3,48
3579,1314,4,48
3582,1315,5,48
3585,1316,6,48
3587,1317,1,48
3590,1318,2,48
3592,1319,3,48
3595,1320,4,48
3598,1321,5,48
3601,1322,6,48
3604,1323,1,48
3607,1324,2,48
3609,1325,3,48
3612,1326,4,48
3615,1327,5,48
3618,1328,6,48
3620,1329,1,48
3623,1330,2,48
3625,1331,3,48
3628,1332,4,48
3631,1333,5,48
3634,1334,6,48
3636,1335,1,48
3639,1336,2,48
3641,1337,3,48
3644,1338,4,48
3647,1339,5,48
3650,1340,6,48
3653,1341,1,48
3656,1342,2,48
3658,1343,3,48
3661,1344,4,48
3664,1345,5,48
3667,1346,6,48
3669,1347,1,48
3672,1348,2,48
3674,1349,3,48
3677,1350,4,48
3680,1351,5,48
3683,1352,6,48
3685,1353,1,48
3688,1354,2,48
3690,1355,3,48
3693,1356,4,48
3696,1357,5,48
3699,1358,6,48
3702,1359,1,48
3705,1360,2,48
3707,1361,3,48
3710,1362,4,48
3713,1363,5,48
3716,1364,6,48
3718,1365,1,48
3721,1366,2,48
3723,1367,3,48
3726,1368,4,48
3729,1369,5,48
3732,1370,6,48
3735,1371,1,48
3738,1372,2,48
3740,1373,3,48
3743,1374,4,48
3746,1375,5,48
3749,1376,6,48
3751,1377,1,48
3754,1378,2,48
3756,1379,3,48
3759,1380,4,48
3762,1381,5,48
3765,1382,6,48
3767,1383,1,48
3770,1384,2,48
3772,1385,3,48
3775,1386,4,48
3778,1387,5,48
3781,1388,6,48
3784,1389,1,48
3787,1390,2,48
3789,1391,3,48
3792,1392,4,48
3795,1393,5,48
3798,1394,6,48
3800,1395,1,48
3803,1396,2,48
3805,1397,3,48
3808,1398,4,48
3811,1399,5,48
3814,1400,6,48
3816,1401,1,48
3819,1402,2,48
3821,1403,3,48
3824,1404,4,48
3827,1405,5,48
3830,1406,6,48
3833,1407,1,48
3836,1408,2,48
3838,1409,3,48
3841,1410,4,48
3844,1411,5,48
3847,1412,6,48
3849,1413,1,48
3852,1414,2,48
3854,1415,3,48
3857,1416,4,48
3860,1417,5,48
3863,1418,6,48
3865,1419,1,48
3868,1420,2,48
3870,1421,3,48
3873,1422,4,48
3876,1423,5,48
3879,1424,6,48
3882,1425,1,48
3885,1426,2,48
3887,1427,3,48
3890,1428,4,48
3893,1429,5,48
3896,1430,6,48
3898,1431,1,48
3901,1432,2,48
3903,1433,3,48
3906,1434,4,48
3909,1435,5,48
3912,1436,6,48
3915,1437,1,48
3918,1438,2,48
3920,1439,3,48
3923,1440,4,48
3926,1441,5,48
3929,1442,6,48
3931,1443,1,48
3934,1444,2,48
3936,1445,3,48
3939,1446,4,48
3942,1447,5,48
3945,1448,6,48
3947,1449,1,48
3950,1450,2,48
3952,1451,3,48
3955,1452,4,48
3958,1453,5,48
3961,1454,6,48
3964,1455,1,48
3967,1456,2,48
3969,1457,3,48
3972,1458,4,48
3975,1459,5,48
3978,1460,6,48
3980,1461,1,48
3983,1462,2,48
3985,1463,3,48
3988,1464,4,48
3991,1465,5,48
3994,1466,6,48
3996,1467,1,48
3999,1468,2,48
4001,1469,3,48
4004,1470,4,48
4007,1471,5,48
4010,1472,6,48
4013,1473,1,48
4016,1474,2,48
4018,1475,3,48
4021,1476,4,48
4024,1477,5,48
4027,1478,6,48
4029,1479,1,48
4032,1480,2,48
4034,1481,3,48
4037,1482,4,48
4040,1483,5,48
4043,1484,6,48
4045,1485,1,48
4048,1486,2,48
4050,1487,3,48
4053,1488,4,48
4056,1489,5,48
4059,1490,6,48
4062,1491,1,48
4065,1492,2,48
4067,1493,3,48
4070,1494,4,48
4073,1495,5,48
4076,1496,6,48
4078,1497,1,48
4081,1498,2,48
4083,1499,3,48
4086,1500,4,48
4089,1501,5,48
4092,1502,6,48
4095,1503,1,48
4098,1504,2,48
4100,1505,3,48
4103,1506,4,48
4106,1507,5,48
4109,1508,6,48
4111,1509,1,48
4114,1510,2,48
4116,1511,3,48
4119,1512,4,48
4122,1513,5,48
4125,1514,6,48
4127,1515,1,48
4130,1516,2,48
4132,1517,3,48
4135,1518,4,48
4138,1519,5,48
4141,1520,6,48
4144,1521,1,48
