platform,vflows,configuration,resource,component,value,source
quartus,1024,dynamic,block_memory_bits,other,792,runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
vivado,1024,static,bram36_tiles,post_mapper,15360,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,pre_mapper,2.5,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,engine_cam,20480,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,replay_log,0,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,other,7.5,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,post_mapper,0,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,pre_mapper,0,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,engine_cam,0,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,replay_log,0,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,other,0,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,post_mapper,566231040,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,pre_mapper,92160,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,engine_cam,754974720,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,replay_log,0,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,other,276480,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,dynamic,bram36_tiles,post_mapper,61440,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram36_tiles,pre_mapper,10.0,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram36_tiles,engine_cam,20480,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram36_tiles,replay_log,0,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram36_tiles,other,7.5,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,uram288_blocks,post_mapper,0,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,uram288_blocks,pre_mapper,0,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,uram288_blocks,engine_cam,0,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,uram288_blocks,replay_log,0,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,uram288_blocks,other,0,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram_uram_allocated_bits,post_mapper,2264924160,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram_uram_allocated_bits,pre_mapper,368640,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram_uram_allocated_bits,engine_cam,754974720,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram_uram_allocated_bits,replay_log,0,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram_uram_allocated_bits,other,276480,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,post_mapper,30720,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,pre_mapper,5.0,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,engine_cam,20480,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,replay_log,18,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,other,7.5,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,post_mapper,0,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,pre_mapper,0,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,engine_cam,0,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,replay_log,0,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,other,0,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,post_mapper,1132462080,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,pre_mapper,184320,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,engine_cam,754974720,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,replay_log,663552,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,other,276480,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
