window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction
769,1089,328,17.1550989773,0.26804842152,8.70195154682,8.45314743046,0.135967992919,0.132080428601
777,1097,336,17.3972149709,0.271831483921,8.82922195151,8.56799301942,0.137956592992,0.133874890928
785,1105,344,17.5741472447,0.274596050699,8.91978247808,8.65436476666,0.13937160122,0.135224449479
793,1113,352,17.6933107372,0.276457980269,8.97534194738,8.71796878983,0.140239717928,0.136218262341
801,1121,360,17.7638023195,0.277559411243,9.0026368096,8.76116550994,0.14066620015,0.136893211093
809,1129,368,17.7958461859,0.278060096655,9.0054359755,8.79041021044,0.140709937117,0.137350159538
817,1137,376,17.7983512348,0.278099238044,8.99015240628,8.80819882855,0.140471131348,0.137628106696
825,1145,384,17.7820343565,0.277844286821,8.96066569869,8.82136865782,0.140010401542,0.137833885278
833,1153,392,17.7530831001,0.277391923438,8.92116723773,8.83191586233,0.13939323809,0.137998685349
841,1161,400,17.7114720887,0.276741751387,8.87350251078,8.83796957797,0.138648476731,0.138093274656
849,1169,408,17.6529655618,0.275827586903,8.81518873414,8.83777682764,0.137737323971,0.138090262932
857,1177,416,17.5828072127,0.274731362698,8.75253233616,8.8302748765,0.136758317753,0.137973044945
865,1185,424,17.5032464364,0.273488225568,8.68660905546,8.81663738091,0.135728266492,0.137759959077
873,1193,432,17.4172347748,0.272144293356,8.62239678056,8.79483799423,0.134724949696,0.13741934366
881,1201,440,17.3243993729,0.270693740201,8.55777502324,8.76662434963,0.133715234738,0.136978505463
889,1209,448,17.2243605597,0.269130633746,8.49489502993,8.7294655298,0.132732734843,0.136397898903
897,1217,456,17.1192917393,0.267488933426,8.43307999296,8.68621174629,0.13176687489,0.135722058536
905,1225,464,17.012130445,0.265814538203,8.37787100046,8.63425944455,0.130904234382,0.134910303821
913,1233,472,16.9077195067,0.264183117292,8.33098125471,8.576738252,0.130171582105,0.134011535188
