run,time_relative_to_start,total_link_fraction,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
R4: confined replace,-1500,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1488,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-1476,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-1464,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-1452,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-1440,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1428,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-1416,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-1404,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-1392,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-1380,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1368,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-1356,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-1344,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-1332,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-1320,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1308,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-1296,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-1284,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-1272,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-1260,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1248,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-1236,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-1224,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-1212,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-1200,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1188,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-1176,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-1164,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-1152,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-1140,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1128,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-1116,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-1104,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-1092,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-1080,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1068,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-1056,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-1044,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-1032,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-1020,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-1008,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-996,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-984,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-972,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-960,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-948,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-936,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-924,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-912,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-900,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-888,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-876,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-864,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-852,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-840,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-828,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-816,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-804,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-792,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-780,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-768,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-756,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
