platform,vflows,configuration,resource,unit,rio_only,pifo_one,pifo_count,pifo_total,value,source,pifo_source,measurement_kind
vivado,128,static,bram_uram_allocated_bits,bits,18432000,0.0,5,0.0,18432000.0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,lutram_luts,LUTs,832,0.0,5,0.0,832.0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,dsp_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,logic_luts,LUTs,13567,104800.0,5,524000.0,537567.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,registers,bits,7837,25676.0,5,128380.0,136217.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,bram36_tiles,tiles,694.0,0.0,5,0.0,694.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,uram288_blocks,blocks,0,0.0,5,0.0,0.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,bram_uram_allocated_bits,bits,25583616,0.0,5,0.0,25583616.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,lutram_luts,LUTs,912,0.0,5,0.0,912.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,dsp_blocks,blocks,0,0.0,5,0.0,0.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
quartus,256,static,logic_alms,ALMs,10528,54851.0,5,274255.0,284783.0,runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,logic_aluts,ALUTs,12722,86621.0,5,433105.0,445827.0,runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,registers,bits,1597,27697.0,5,138485.0,140082.0,runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,block_memory_bits,bits,49841312,0.0,5,0.0,49841312.0,runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,mlab_memory_bits,bits,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
