part	device	family
xcvu13p-figd2104-2LV-e	xcvu13p	virtexuplus
xcvu13p-figd2104-3-e	xcvu13p	virtexuplus
xcvu13p-flga2577-1-e	xcvu13p	virtexuplus
xcvu13p-flga2577-1-i	xcvu13p	virtexuplus
xcvu13p-flga2577-2-e	xcvu13p	virtexuplus
xcvu13p-flga2577-2-i	xcvu13p	virtexuplus
xcvu13p-flga2577-2L-e	xcvu13p	virtexuplus
xcvu13p-flga2577-2LV-e	xcvu13p	virtexuplus
xcvu13p-flga2577-3-e	xcvu13p	virtexuplus
xcvu13p-fsga2577-1-e	xcvu13p	virtexuplus
xcvu13p-fsga2577-1-i	xcvu13p	virtexuplus
xcvu13p-fsga2577-2-e	xcvu13p	virtexuplus
xcvu13p-fsga2577-2-i	xcvu13p	virtexuplus
xcvu13p-fsga2577-2L-e	xcvu13p	virtexuplus
xcvu13p-fsga2577-2LV-e	xcvu13p	virtexuplus
xcvu13p-fsga2577-3-e	xcvu13p	virtexuplus
xcvu13p_CIV-fhga2104-1-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhga2104-1-i	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhga2104-2-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhga2104-2-i	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhga2104-2L-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhga2104-2LV-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhga2104-3-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgb2104-1-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgb2104-1-i	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgb2104-2-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgb2104-2-i	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgb2104-2L-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgb2104-2LV-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgb2104-3-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgc2104-1-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgc2104-1-i	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgc2104-2-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgc2104-2-i	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgc2104-2L-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgc2104-2LV-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-fhgc2104-3-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-figd2104-1-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-figd2104-1-i	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-figd2104-2-e	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-figd2104-2-i	xcvu13p_CIV	virtexuplus
xcvu13p_CIV-figd2104-2L-e	xcvu13p_CIV	virtexuplus
